,tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
779,774757898236878852,9396,2009,Sat Sep 10 23:54:11 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/dS8SCbNF9P
780,774639387460112384,7429,1986,Sat Sep 10 16:03:16 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/4s5Xlijogu
781,774314403806253056,23992,6392,Fri Sep 09 18:31:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/7oQ1wpfxIH
782,773985732834758656,11815,4429,Thu Sep 08 20:45:53 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/RFWtDqTnAz
783,773922284943896577,7043,1968,Thu Sep 08 16:33:46 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/G56ikYAqFg
784,773704687002451968,7258,1859,Thu Sep 08 02:09:06 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/OqNggd4Oio
785,773670353721753600,5884,1476,Wed Sep 07 23:52:41 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/rA8WUVOLBr
786,773547596996571136,24342,7051,Wed Sep 07 15:44:53 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/nBJ5RE4yHb
787,773336787167145985,0,5830,Wed Sep 07 01:47:12 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
788,773308824254029826,25608,8541,Tue Sep 06 23:56:05 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/0Fcft7jl4N
789,773247561583001600,10315,3653,Tue Sep 06 19:52:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/hG5WYT9ECn
790,773191612633579521,11018,4682,Tue Sep 06 16:10:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/9HEVPJEioD
791,772877495989305348,9466,4442,Mon Sep 05 19:22:09 +0000 2016,Twitter Web Client,Original tweet,https://t.co/qEP31epKEV
792,772826264096874500,8784,2644,Mon Sep 05 15:58:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/7CQkn3gHOQ
793,772615324260794368,0,3858,Mon Sep 05 02:00:22 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
794,772581559778025472,7132,1944,Sun Sep 04 23:46:12 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/8lpAGaZRFn
795,772193107915964416,6607,1581,Sat Sep 03 22:02:38 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Dp0s7MRIHK
796,772152991789019136,4150,1284,Sat Sep 03 19:23:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/H9yjI9eo3A
797,772117678702071809,4126,833,Sat Sep 03 17:02:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/GHOfbTVQti
798,772114945936949249,2979,541,Sat Sep 03 16:52:02 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/CbtNfecWiT
799,772102971039580160,4414,1052,Sat Sep 03 16:04:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/B2f3XkGU5c
800,771908950375665664,7237,2149,Sat Sep 03 03:13:29 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/yOVzAomJ6k
801,771770456517009408,13247,3875,Fri Sep 02 18:03:10 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/E6bGWf9EOm
802,771500966810099713,9094,2978,Fri Sep 02 00:12:18 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/1tWe5zZoHv
803,771380798096281600,11633,5830,Thu Sep 01 16:14:48 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/sPB5JMnWBn
804,771171053431250945,0,8604,Thu Sep 01 02:21:21 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
805,771136648247640064,10132,3316,Thu Sep 01 00:04:38 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/8VEDZKHddR
806,771102124360998913,6841,1633,Wed Aug 31 21:47:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/K5Jo7QRCvA
807,771014301343748096,6964,1757,Wed Aug 31 15:58:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/OJZQ6I4gGd
808,771004394259247104,0,251,Wed Aug 31 15:19:06 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
